name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Aidan O'Connell,LV,QB,26.6,11015,10866,16159,215,378,55,-75
Dawson Knox,BUF,TE,28.4,1787,5906,14143,213,379,50,8
Treylon Burks,TEN,WR,25,2373,8135,15752,208,380,130,-14
Bub Means,NO,WR,24.2,11896,11748,16751,205,381,131,34
Luke Schoonmaker,DAL,TE,26.5,11006,10871,16221,205,382,51,-162
Jake Bobo,SEA,WR,26.6,11025,10867,16393,185,383,132,189
Ty Chandler,MIN,RB,26.9,8117,8230,15723,178,384,101,-9
Stone Smartt,LAC,TE,26.5,8005,8583,16113,176,385,52,119
Grant Calcaterra,PHI,TE,26.3,8573,8177,15804,171,386,53,49
Hendon Hooker,DET,QB,27.2,9881,9998,16151,171,387,56,12
Brandin Cooks,DAL,WR,31.5,7088,2197,11674,167,388,133,-159
Tim Patrick,DET,WR,31.3,4730,4351,13377,165,389,134,115
Jalin Hyatt,NYG,WR,23.5,9851,9497,16183,157,390,135,-28
Rondale Moore,ATL,WR,24.8,2214,7601,15283,157,391,136,41
Jacob Cowing,SF,WR,24.1,11778,11616,16640,153,392,137,-2
Jonathan Mingo,DAL,WR,23.9,9867,10225,16197,152,393,138,-135
Tyler Conklin,NYJ,TE,29.6,6147,5133,13675,149,394,54,-37
Devontez Walker,BAL,WR,23.8,11777,11629,16621,147,395,139,10
Trey Palmer,TB,WR,24,9855,9492,16199,141,396,140,-26
Marcus Mariota,WAS,QB,31.4,7818,2307,12141,136,397,57,69
Ty Johnson,BUF,RB,27.5,607,6039,14095,130,398,102,-49
Brenden Rice,LAC,WR,23,11710,11621,16623,128,399,141,-31
Curtis Samuel,BUF,WR,28.6,3438,4082,13157,125,400,142,-39
Mason Rudolph,TEN,QB,29.7,4357,4972,13595,123,401,58,127
Xavier Hutchinson,HOU,WR,24.8,9854,10218,16201,110,402,143,-42
Dorian Thompson-Robinson,CLE,QB,25.4,9945,10862,16158,108,403,59,79
Jacoby Brissett,NE,QB,32.3,2042,3257,12616,108,404,60,112
Tommy Tremble,CAR,TE,24.8,7388,7694,15332,105,405,55,23
Rasheen Ali,BAL,RB,24.1,11727,11570,16746,103,406,103,-12
Jordan Travis,NYJ,QB,24.9,11756,11567,16589,101,407,61,-51
Samaje Perine,KC,RB,29.5,3463,4147,13133,99,408,104,99
Andy Dalton,CAR,QB,37.4,2030,829,10313,94,409,62,97
Clyde Edwards-Helaire,null,RB,25.9,8140,6820,14803,93,410,105,-18
Jared Wiley,KC,TE,24.4,11732,11595,16648,92,411,56,-15
Dylan Laube,LV,RB,25.3,11768,11574,16613,89,412,106,89
Colby Parkinson,LAR,TE,26.2,6289,6865,14871,82,413,57,-21
Tyrod Taylor,NYJ,QB,35.6,4418,827,10413,80,414,63,83
Tyler Goodson,IND,RB,24.4,2000,8207,15730,76,415,107,76
KaVontae Turpin,DAL,WR,28.6,4302,8917,15981,75,416,144,77
Jake Browning,CIN,QB,28.9,438,6111,14358,71,417,64,8
Greg Dortch,ARI,WR,26.8,938,5970,14108,63,418,145,8
Joe Flacco,IND,QB,40.2,2323,19,9064,56,419,65,-93
Joshua Dobbs,SF,QB,30.2,244,4179,13119,51,420,66,53
Frank Gore,BUF,RB,23,11715,11573,16599,50,421,108,50
Bo Melton,GB,WR,25.8,7422,8204,15785,45,422,146,21
Deuce Vaughn,DAL,RB,23.4,9900,9505,16176,44,423,109,44
Jimmy Garoppolo,LAR,QB,33.4,2899,1837,11760,43,424,67,45
Carson Steele,KC,RB,22.4,11717,11582,16612,42,425,110,-19
Olamide Zaccheaus,WAS,WR,27.7,205,6271,14592,41,426,147,-85
Israel Abanikanda,SF,RB,22.5,9845,9227,16168,39,427,111,39
Chris Rodriguez,WAS,RB,25.5,9831,10219,16174,39,428,112,-29
Mack Hollins,BUF,WR,31.5,3596,4177,13289,32,429,148,33
Tyson Bagent,CHI,QB,24.8,11408,11256,16384,31,430,68,3
Daniel Bellinger,NYG,TE,24.5,2752,8225,15873,31,431,58,-17
JuJu Smith-Schuster,KC,WR,28.3,8033,4040,13156,30,432,149,-26
Michael Carter,ARI,RB,25.9,4611,7607,15258,27,433,113,27
